game,home_team,away_team,team,spread,odds,sportsbook,game_time
Los Angeles Chargers @ Tennessee Titans,Tennessee Titans,Los Angeles Chargers,Los Angeles Chargers,-8.5,-110,FanDuel,2025-11-02T18:00:00Z
Los Angeles Chargers @ Tennessee Titans,Tennessee Titans,Los Angeles Chargers,Tennessee Titans,8.5,-110,FanDuel,2025-11-02T18:00:00Z
San Francisco 49ers @ New York Giants,New York Giants,San Francisco 49ers,New York Giants,3.0,-110,DraftKings,2025-11-02T18:00:00Z
San Francisco 49ers @ New York Giants,New York Giants,San Francisco 49ers,San Francisco 49ers,-3.0,-110,DraftKings,2025-11-02T18:00:00Z
San Francisco 49ers @ New York Giants,New York Giants,San Francisco 49ers,New York Giants,3.0,-114,FanDuel,2025-11-02T18:00:00Z
San Francisco 49ers @ New York Giants,New York Giants,San Francisco 49ers,San Francisco 49ers,-3.0,-106,FanDuel,2025-11-02T18:00:00Z
Jacksonville Jaguars @ Las Vegas Raiders,Las Vegas Raiders,Jacksonville Jaguars,Jacksonville Jaguars,-3.0,-115,DraftKings,2025-11-02T21:05:00Z
Jacksonville Jaguars @ Las Vegas Raiders,Las Vegas Raiders,Jacksonville Jaguars,Las Vegas Raiders,3.0,-105,DraftKings,2025-11-02T21:05:00Z
Jacksonville Jaguars @ Las Vegas Raiders,Las Vegas Raiders,Jacksonville Jaguars,Jacksonville Jaguars,-3.0,-110,FanDuel,2025-11-02T21:05:00Z
Jacksonville Jaguars @ Las Vegas Raiders,Las Vegas Raiders,Jacksonville Jaguars,Las Vegas Raiders,3.0,-110,FanDuel,2025-11-02T21:05:00Z
New Orleans Saints @ Los Angeles Rams,Los Angeles Rams,New Orleans Saints,Los Angeles Rams,-12.5,-110,DraftKings,2025-11-02T21:05:00Z
New Orleans Saints @ Los Angeles Rams,Los Angeles Rams,New Orleans Saints,New Orleans Saints,12.5,-110,DraftKings,2025-11-02T21:05:00Z
New Orleans Saints @ Los Angeles Rams,Los Angeles Rams,New Orleans Saints,Los Angeles Rams,-11.5,-110,FanDuel,2025-11-02T21:05:00Z
New Orleans Saints @ Los Angeles Rams,Los Angeles Rams,New Orleans Saints,New Orleans Saints,11.5,-110,FanDuel,2025-11-02T21:05:00Z
Kansas City Chiefs @ Buffalo Bills,Buffalo Bills,Kansas City Chiefs,Buffalo Bills,1.5,-110,DraftKings,2025-11-02T21:25:00Z
Kansas City Chiefs @ Buffalo Bills,Buffalo Bills,Kansas City Chiefs,Kansas City Chiefs,-1.5,-110,DraftKings,2025-11-02T21:25:00Z
Kansas City Chiefs @ Buffalo Bills,Buffalo Bills,Kansas City Chiefs,Buffalo Bills,1.5,-110,FanDuel,2025-11-02T21:25:00Z
Kansas City Chiefs @ Buffalo Bills,Buffalo Bills,Kansas City Chiefs,Kansas City Chiefs,-1.5,-110,FanDuel,2025-11-02T21:25:00Z
Seattle Seahawks @ Washington Commanders,Washington Commanders,Seattle Seahawks,Seattle Seahawks,-3.0,-110,DraftKings,2025-11-03T01:20:00Z
Seattle Seahawks @ Washington Commanders,Washington Commanders,Seattle Seahawks,Washington Commanders,3.0,-110,DraftKings,2025-11-03T01:20:00Z
Seattle Seahawks @ Washington Commanders,Washington Commanders,Seattle Seahawks,Seattle Seahawks,-2.5,-122,FanDuel,2025-11-03T01:20:00Z
Seattle Seahawks @ Washington Commanders,Washington Commanders,Seattle Seahawks,Washington Commanders,2.5,100,FanDuel,2025-11-03T01:20:00Z
Arizona Cardinals @ Dallas Cowboys,Dallas Cowboys,Arizona Cardinals,Arizona Cardinals,3.0,-110,DraftKings,2025-11-04T01:15:00Z
Arizona Cardinals @ Dallas Cowboys,Dallas Cowboys,Arizona Cardinals,Dallas Cowboys,-3.0,-110,DraftKings,2025-11-04T01:15:00Z
Arizona Cardinals @ Dallas Cowboys,Dallas Cowboys,Arizona Cardinals,Arizona Cardinals,3.0,-104,FanDuel,2025-11-04T01:15:00Z
Arizona Cardinals @ Dallas Cowboys,Dallas Cowboys,Arizona Cardinals,Dallas Cowboys,-3.0,-118,FanDuel,2025-11-04T01:15:00Z
